GENE,ATGENE,EVALUE,BITSCORE,Names,Description,DNA damage response GO:0006974,DNA metabolic process GO:0006259,biological process involved in interspec... GO:0044419,cell cycle GO:0007049,cell cycle process GO:0022402,cell death GO:0008219,cell recognition GO:0008037,cellular response to ionizing radiation GO:0071479,cellular response to iron ion GO:0071281,cellular response to stress GO:0033554,coumarin biosynthetic process GO:0009805,coumarin metabolic process GO:0009804,defense response GO:0006952,defense response to Gram-negative bacter... GO:0050829,defense response to bacterium GO:0042742,defense response to other organism GO:0098542,defense response to symbiont GO:0140546,detection of bacterium GO:0016045,detection of biotic stimulus GO:0009595,detection of external biotic stimulus GO:0098581,detection of other organism GO:0098543,double-strand break repair GO:0006302,immune response GO:0006955,immune response-activating signaling pat... GO:0002757,immune response-regulating signaling pat... GO:0002764,immune system process GO:0002376,innate immune response GO:0045087,innate immune response-activating signal... GO:0002758,mitotic cytokinesis GO:0000281,negative regulation of cell cycle GO:0045786,negative regulation of cell cycle proces... GO:0010948,pathogen-associated molecular pattern re... GO:0140426,pattern recognition receptor signaling p... GO:0002221,phosphate-containing compound metabolic ... GO:0006796,phosphorus metabolic process GO:0006793,phosphorylation GO:0016310,plant-type hypersensitive response GO:0009626,programmed cell death GO:0012501,protein desumoylation GO:0016926,protein phosphorylation GO:0006468,recognition of pollen GO:0048544,regulation of cell cycle GO:0051726,regulation of cell cycle process GO:0010564,regulation of defense response GO:0031347,regulation of immune response GO:0050776,regulation of immune system process GO:0002682,regulation of innate immune response GO:0045088,regulation of response to biotic stimulu... GO:0002831,regulation of response to external stimu... GO:0032101,regulation of response to stimulus GO:0048583,regulation of response to stress GO:0080134,response to bacterium GO:0009617,response to biotic stimulus GO:0009607,response to external biotic stimulus GO:0043207,response to external stimulus GO:0009605,response to oomycetes GO:0002239,response to other organism GO:0051707,response to stress GO:0006950,sideretin biosynthesis GO:0106146,symbiont-induced defense-related program... GO:0034050
Manes.10G061700.1,AT5G63690,1.38e-48,152,"","Nucleic acid-binding, OB-fold-like protein;(source:Araport11)",X,X,"",X,X,"","","","",X,"","","","","","","","","","","",X,"","","","","","","",X,X,"","","","","","","","","","",X,X,"","","","","","","","","","","","","","",X,"",""
Manes.10G065700.1,AT1G49670,0,972,NQR,molecular function has not been defined. Was shown involved in oxidative stress tolerance.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.10G067800.1,AT3G13460,0,713,ECT2; EVOLUTIONARILY CONSERVED C-TERMINAL REGION 2,"Physically interacts with CIPK1. ECT2 regulates the mRNA levels of the roteasome regulator PTRE1 and of several 20S proteasome subunits, resulting in enhanced 26S proteasome activity. YTHDF protein which togeteher with ECT3 and ECT4 is involved in cell proliferation during plant organogenesis.","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,"",X,"","",""
Manes.10G071600.1,AT3G19270,0,672,"CYP707A4; CYTOCHROME P450, FAMILY 707, SUBFAMILY A, POLYPEPTIDE 4","Encodes a protein with ABA 8 Prime-hydroxylase activity, involved in ABA catabolism. Member of the CYP707A gene family.Encodes a protein with ABA 8'-hydroxylase activity, involved in ABA catabolism. Member of the CYP707A gene family.","","",X,"","","","","","",X,"","",X,"","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,"",X,X,"",""
Manes.10G074374.1,AT3G14470,5.9e-148,474,LEUCINE RICH REPEAT PROTEIN 1; LRR4,NB-ARC domain-containing disease resistance protein;(source:Araport11),"","",X,"","","","","","","","","",X,X,X,X,"","","","","","",X,"","",X,"","","","","","","","","","","","","","","","","","",X,X,"","","",X,"",X,X,X,X,"",X,X,"",""
Manes.10G077000.1,AT2G15490,6.14e-167,479,UDP-GLYCOSYLTRANSFERASE 73B4; UGT73B4,UDP-glycosyltransferase 73B4;(source:Araport11),"","",X,"","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,"",X,X,"",""
Manes.10G077179.1,AT3G06240,1.86e-31,124,"",F-box family protein;(source:Araport11),"","","","","","","","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"","","","","",X,X,"","","","","","",X,"",""
Manes.10G077300.1,AT3G19420,0,884,ATPEN2; MODIFIED TRANSPORT TO THE VACUOLE 3; MTV3; PEN2; PHOSPHATASE AND TENSIN HOMOLOG DELETED ON CHROMOSOME TEN 2A; PTEN 2; PTEN2A,"Encodes a phosphatase with low in vitro tyrosine phosphatase activity that is capable of dephosphorylating in vitro the 3'phosphate group of PI3P, PI(3,4)P2, and PI(3,5)P2 and may be an effector of lipid signaling. The mRNA is cell-to-cell mobile.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,"","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.10G080600.1,AT1G49890,0,644,QWRF DOMAIN CONTAINING 2; QWRF2,Together with QWRF1 redundantly modulates cortical microtubule arrangement in floral organ growth and fertility.,"","","",X,X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Manes.10G082700.2,AT4G08850,1.66e-100,317,MDIS1-INTERACTING RECEPTOR LIKE KINASE2; MIK2,"MIK1 encodes a receptor kinase that forms a complex with MDIS1/MIK2 and binds LURE1, the female pollen guidance chemi-attractant. MIK1 phosphorylates MDIS1 and is autophosphorylated.","","",X,"","","","","","","","","",X,"","",X,"","","","","","","","","","","","","","","","","",X,X,X,"","","",X,"","","",X,"","","","","",X,X,X,X,X,X,"",X,X,"",""
Manes.10G083250.1,AT4G23160,1.55e-33,129,CRK8; CYSTEINE-RICH RLK (RECEPTOR-LIKE PROTEIN KINASE) 8,Encodes a cysteine-rich receptor-like protein kinase.,"","",X,"","",X,"","","",X,"","",X,"",X,X,X,"","","","","",X,"","",X,X,"","","","","","","","","",X,X,"","","","","","","","","","","","","",X,X,X,X,"",X,X,"",X
Manes.10G087200.4,AT1G04820,0,915,TOR2; TORTIFOLIA 2; TUA4; TUBULIN ALPHA-4 CHAIN,"Encodes an alpha tubulin isoform that is expressed in roots, leaves and flowers.","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Manes.10G087200.4,AT1G50010,0,915,TUA2; TUBULIN ALPHA-2 CHAIN,"Encodes alpha-2,4 tubulin.  TUA2 and TUA4 encode identical proteins. The mRNA is cell-to-cell mobile.","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Manes.10G088875.1,AT5G17680,0,658,"",disease resistance protein (TIR-NBS-LRR class);(source:Araport11),"","",X,"","","","","","","","","",X,"",X,X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,X,"",X,X,"",""
Manes.10G091600.3,AT3G14470,7.12e-135,435,LEUCINE RICH REPEAT PROTEIN 1; LRR4,NB-ARC domain-containing disease resistance protein;(source:Araport11),"","",X,"","",X,"","","",X,"","",X,"",X,X,X,"","","","","",X,"","",X,X,"","","","","","","","","",X,X,"","","","","","","","","","","","","",X,X,X,X,"",X,X,"",X
Manes.10G091832.1,AT1G58440,5.22e-173,497,DROUGHT HYPERSENSITIVE 2; DRY2; SQE1; SQUALENE EPOXIDASE 1; XF1,Encodes a squalene monooxygenase.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.10G094800.1,AT5G10530,0,574,L-TYPE LECTIN RECEPTOR KINASE IX.1; LECRK-IX.1,Concanavalin A-like lectin protein kinase family protein;(source:Araport11),"","",X,"","",X,"","","",X,"","",X,"",X,X,X,"","","","","",X,X,X,X,X,X,"","","",X,X,X,X,X,X,X,"",X,"","","",X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,"",X
Manes.10G096601.1,AT5G17050,1.47e-61,200,UDP-GLUCOSYL TRANSFERASE 78D2; UGT78D2,The At5g17050 encodes a anthocyanidin 3-O-glucosyltransferase which specifically glucosylates the 3-position of the flavonoid C-ring. Anthocyanidins such as cyanidin and pelargonidin as well as flavonols such as kaempferol and quercetin are accepted substrates. Role in the glycosylation of coumarins for iron (Fe) acquisition  under low-Fe conditions.,"","","","","","","","","","",X,X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Manes.10G097150.1,AT2G05940,1.02e-41,147,PBL14; PBS1-LIKE 14; RIPK; RPM1-INDUCED PROTEIN KINASE,"Encodes a receptor-like cytoplasmic kinase that phosphorylates the host target RIN4, leading to the activation of a plant innate immune receptor RPM1.","","",X,"","","","","","","","","",X,"",X,X,"","","","","","",X,"","",X,"","","","","","","",X,X,X,"","","",X,"","","","","","","","","","","",X,X,X,X,"",X,X,"",""
Manes.10G102700.5,AT4G05440,3.96e-157,442,BICE1; BICELLULAR POLLEN 1; EDA35; EMBRYO SAC DEVELOPMENT ARREST 35,Plays a role in pollen development and modulating DNA replication via interaction with MCM4 and MCM7 of the pre-replication complex.,"","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"","","","","","","","","","","","","","","","","",""
Manes.10G103100.2,AT4G12010,0,682,DOMINANT SUPRESSOR OF CAMTA3 NUMBER 1; DSC1,Leucine-rich repeat domain (NLR) receptor. Dominant negative alleles suppress catma3 autoimmunity. Co-regulates with WRKY19 basal levels of immunity to root-knot nematodes.,"","",X,"","","","","","","","","",X,"",X,X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,X,"",X,X,"",""
Manes.10G105128.1,AT1G79460,0,640,ARABIDOPSIS THALIANA ENT-KAURENE SYNTHASE; ARABIDOPSIS THALIANA ENT-KAURENE SYNTHASE 1; ATKS; ATKS1; ENT-KAURENE SYNTHASE 1; GA REQUIRING 2; GA2; KS; KS1,Encodes for a protein with ent-kaurene synthase B activity which catalyzes the second step in the cyclization of GGPP to ent-kaurene in the gibberellins biosynthetic pathway.,"","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,X,"",X,X,"",""
Manes.10G105900.1,AT4G10250,7.07e-50,159,ATHSP22.0; HSP22,Columbia endomembrane-localized small heat shock protein,"","","","","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.10G107000.11,AT5G49880,1.47e-173,503,ATMAD1; MAD1; MITOTIC ARREST DEFICIENT 1; NES1; NITRIC OXIDE-INDUCED EARLY COTYLEDON SENESCENCE 1,Encodes a spindle assembly checkpoint protein MAD1. The mRNA is cell-to-cell mobile.,"","","",X,X,"","","","","","","","","","","","","","","","","","","","","","","","",X,X,"","","","","","","","","","",X,X,"","","","","","","","","","","","","","","","",""
Manes.10G108901.2,AT3G14470,7.13e-39,153,LEUCINE RICH REPEAT PROTEIN 1; LRR4,NB-ARC domain-containing disease resistance protein;(source:Araport11),"","",X,"","","","","","","","","",X,"",X,X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,X,"",X,X,"",""
Manes.10G110000.2,AT1G59610,0,1428,ADL3; DL3; DRP2B; DYNAMIN RELATED PROTEIN 2B; DYNAMIN-LIKE 3,A high molecular weight GTPase whose GTP-binding domain shows a low homology to those of other plant dynamin-like proteins.Contains a pleckstrin homologous domain. DRP2B and DRP1A participate together in clathrin-coated vesicle formation during endocytosis. The mRNA is cell-to-cell mobile.,"","",X,"","","","","","","","","",X,"","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,"",X,X,"",""
Manes.10G110983.1,AT4G26090,5.74e-35,137,RESISTANT TO P. SYRINGAE 2; RPS2,"Encodes a plasma membrane protein with  leucine-rich repeat, leucine zipper, and P loop domains that confers resistance to Pseudomonas syringae infection by interacting with the avirulence gene avrRpt2.  RPS2 protein interacts directly with plasma membrane associated protein RIN4 and this interaction is disrupted by avrRpt2. The mRNA is cell-to-cell mobile.","","",X,"","",X,"","","",X,"","",X,"",X,X,X,X,X,X,X,"",X,"","",X,X,"","","","","","","","","",X,X,"","","","","","","","","","","","","",X,X,X,X,"",X,X,"",X
Manes.10G112000.1,AT3G14470,0,591,LEUCINE RICH REPEAT PROTEIN 1; LRR4,NB-ARC domain-containing disease resistance protein;(source:Araport11),"","",X,"","","","","","","","","",X,X,X,X,"","","","","","",X,"","",X,"","","","","","","","","","","","","","","","","","",X,X,"","","",X,"",X,X,X,X,"",X,X,"",""
Manes.10G112200.2,AT4G08500,3.75e-95,311,ARAKIN; ATMEKK1; MAPK/ERK KINASE KINASE 1; MAPKKK8; MEKK1,"Encodes a member of the A1 subgroup of the MEKK (MAPK/ERK kinase kinase) family. MEKK is another name for Mitogen-Activated Protein Kinase Kinase Kinase (MAPKKK or MAP3K).  This subgroup has four members: At4g08500 (MEKK1, also known as ARAKIN, MAP3Kb1, MAPKKK8), At4g08480 (MEKK2, also known as MAP3Kb4, MAPKKK9),  At4g08470 (MEKK3, also known as MAP3Kb3, MAPKKK10) and At4g12020 (MEKK4, also known as MAP3Kb5, MAPKKK11, WRKY19). Nomenclatures for mitogen-activated protein kinases are described in Trends in Plant Science 2002, 7(7):301. Mediates cold, salt, cadmium and wounding stress signalling. Phosphorylates MEK1.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,"","","",X,"","","","","","","","","","","","","","","","","",X,"",""
Manes.10G112780.1,AT4G08500,8.91e-77,259,ARAKIN; ATMEKK1; MAPK/ERK KINASE KINASE 1; MAPKKK8; MEKK1,"Encodes a member of the A1 subgroup of the MEKK (MAPK/ERK kinase kinase) family. MEKK is another name for Mitogen-Activated Protein Kinase Kinase Kinase (MAPKKK or MAP3K).  This subgroup has four members: At4g08500 (MEKK1, also known as ARAKIN, MAP3Kb1, MAPKKK8), At4g08480 (MEKK2, also known as MAP3Kb4, MAPKKK9),  At4g08470 (MEKK3, also known as MAP3Kb3, MAPKKK10) and At4g12020 (MEKK4, also known as MAP3Kb5, MAPKKK11, WRKY19). Nomenclatures for mitogen-activated protein kinases are described in Trends in Plant Science 2002, 7(7):301. Mediates cold, salt, cadmium and wounding stress signalling. Phosphorylates MEK1.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,"","","",X,"","","","","","","","","","","","","","","","","",X,"",""
Manes.10G113023.1,AT4G12570,5.83e-113,368,UBIQUITIN PROTEIN LIGASE 5; UPL5,Knock-out mutants showed accelerated senescence of leaves. The mRNA is cell-to-cell mobile.,"","","","","","","","","","","","",X,"","","","","","","","","","","","","","","","","","","","",X,X,X,"","","",X,"","","",X,"","","","","",X,X,"","","","","","",X,"",""
Manes.10G113600.1,AT3G24550,1.53e-76,268,ATPERK1; PERK1; PROLINE-RICH EXTENSIN-LIKE RECEPTOR KINASE 1,Encodes a member of the proline-rich extensin-like receptor kinase (PERK) family.  This family consists of 15 predicted receptor kinases (PMID: 15653807). The mRNA is cell-to-cell mobile.,"","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,"","","",X,"","","","","","","","","","","","",X,X,X,"",X,X,"",""
Manes.10G114062.1,AT4G26090,4.63e-69,246,RESISTANT TO P. SYRINGAE 2; RPS2,"Encodes a plasma membrane protein with  leucine-rich repeat, leucine zipper, and P loop domains that confers resistance to Pseudomonas syringae infection by interacting with the avirulence gene avrRpt2.  RPS2 protein interacts directly with plasma membrane associated protein RIN4 and this interaction is disrupted by avrRpt2. The mRNA is cell-to-cell mobile.","","",X,"","",X,"","","",X,"","",X,"",X,X,X,X,X,X,X,"",X,"","",X,X,"","","","","","","","","",X,X,"","","","","","","","","","","","","",X,X,X,X,"",X,X,"",X
Manes.10G114219.1,AT4G26090,1.04e-27,117,RESISTANT TO P. SYRINGAE 2; RPS2,"Encodes a plasma membrane protein with  leucine-rich repeat, leucine zipper, and P loop domains that confers resistance to Pseudomonas syringae infection by interacting with the avirulence gene avrRpt2.  RPS2 protein interacts directly with plasma membrane associated protein RIN4 and this interaction is disrupted by avrRpt2. The mRNA is cell-to-cell mobile.","","",X,"","",X,"","","",X,"","",X,"",X,X,X,X,X,X,X,"",X,"","",X,X,"","","","","","","","","",X,X,"","","","","","","","","","","","","",X,X,X,X,"",X,X,"",X
Manes.10G114400.6,AT1G52290,1.95e-73,251,ATPERK15; PERK15; PROLINE-RICH EXTENSIN-LIKE RECEPTOR KINASE 15,Encodes a member of the proline-rich extensin-like receptor kinase (PERK) family.  This family consists of 15 predicted receptor kinases (PMID: 15653807).,"","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,"","","",X,"","","","","","","","","","","","",X,X,X,"",X,X,"",""
Manes.10G114800.2,AT3G47570,0,844,"",Leucine-rich repeat protein kinase family protein;(source:Araport11),"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,"","","",X,"","","","","","","","","","","","","","","","","","","",""
Manes.10G114900.5,AT3G47570,4.27e-161,490,"",Leucine-rich repeat protein kinase family protein;(source:Araport11),"","",X,"","",X,"","","",X,"","",X,"","",X,X,X,X,X,X,"",X,X,X,X,X,X,"","","",X,X,X,X,X,X,X,"",X,"","","",X,X,X,X,X,X,X,X,X,X,X,X,"",X,X,"",X
Manes.10G114950.1,AT3G47580,1.15e-66,222,"",Leucine-rich repeat protein kinase family protein;(source:Araport11),"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,"","","",X,"","","","","","","","","","","","","","","","","","","",""
Manes.10G115500.1,AT1G09600,0,771,"",Protein kinase superfamily protein;(source:Araport11),"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,"","","",X,"","","","","","","","","","","","","","","","","","","",""
Manes.10G119000.1,AT1G80160,6.68e-63,193,GLYI7; GLYOXYLASE I 7,Vicinal oxygen chelate (VOC) superfamily member.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"","","","","","","",X,"",""
Manes.10G121900.1,AT1G71220,0,2341,EBS1; EMS-MUTAGENIZED BRI1 SUPPRESSOR 1EBS1; EMS-MUTAGENIZED BRI1 SUPPRESSOR 1; PRIORITY IN SWEET LIFE 2; PSL2; UDP-GLUCOSE:GLYCOPROTEIN GLUCOSYLTRANSFERASE; UGGT,"Encodes UDP-glucose:glycoprotein glucosyltransferase. Non-receptor component required for EFR-mediated immunity. Mutants show de-repressed anthocyanin accumulation in the  presence of elf18, and EFR accumulation and signalling.","","",X,"","",X,"","","",X,"","",X,"","",X,X,"","","","","",X,"","",X,X,"","","","","","","","","",X,X,"","","","","","","","","","","","","","",X,X,X,"",X,X,"",X
